id,paragraph,tokens
58,"""Cheer,"" said Robert in a fierce whisper. ""Cheer to show them we aren't afraid, and rattle the daggers to make more noise. One, two, three! Hip, hip, hooray! Again--Hip, hip, hooray! One more--Hip, hip, hooray!"" The cheers were rather high and weak, but the rattle of the daggers lent them strength and depth.",cheer say fierce whisper cheer show afraid rattle dagger make more noise hip hip hip hip more hip hip hooray cheer high weak rattle dagger loan strength depth 
59,There was another shout from the camp across the moat--and then the beleaguered fortress felt that the attack had indeed begun.,be shout camp moat beleaguered fortress feel attack begin 
60,"It was getting rather dark in the room above the great gate, and Jane took a very little courage as she remembered that sunset _couldn't_ be far off now.",get dark room great gate take little courage remember sunset 
61,"""The moat is dreadfully thin,"" said Anthea.",moat thin say 
62,"""But they can't get into the castle even if they do swim over,"" said Robert. And as he spoke he heard feet on the stair outside--heavy feet and the clang of steel. No one breathed for a moment. The steel and the feet went on up the turret stairs. Then Robert sprang softly to the door. He pulled off his shoes.",get castle swim say speak hear foot stair heavy foot clang steel breathe moment steel foot go turret stair spring door pull shoe 
63,"""Wait here,"" he whispered, and stole quickly and softly after the boots and the spur-clank. He peeped into the upper room. The man was there--and it was Jakin, all dripping with moat-water, and he was fiddling about with the machinery which Robert felt sure worked the drawbridge. Robert banged the door suddenly, and turned the great key in the lock, just as Jakin sprang to the inside of the door. Then he tore downstairs and into the little turret at the foot of the tower where the biggest window was.",wait whisper steal boot spur clank peep upper room man drip moat water fiddle machinery feel sure work drawbridge bang door turn great key lock spring inside door tore little turret foot tower big window 
64,"""We ought to have defended _this_!"" he cried to the others as they followed him. He was just in time. Another man had swum over, and his fingers were on the window-ledge. Robert never knew how the man had managed to climb up out of the water. But he saw the clinging fingers, and hit them as hard as he could with an iron bar that he caught up from the floor. The man fell with a splash into the moat-water. In another moment Robert was outside the little room, had banged its door and was shooting home the enormous bolts, and calling to Cyril to lend a hand.",defend cry other follow time man swum finger window ledge know man manage climb water see cling finger hit iron bar catch floor man fall splash moat water moment little room bang door shoot enormous bolt call lend hand 
65,[The man fell with a splash into the moat-water],man fall splash moat water 
66,"Then they stood in the arched gate-house, breathing hard and looking at each other.",stand arched gate house breathe look other 
67,Jane's mouth was open.,mouth open 
68,"""Cheer up, Jenny,"" said Robert,--""it won't last much longer.""",cheer say last 
69,"There was a creaking above, and something rattled and shook. The pavement they stood on seemed to tremble. Then a crash told them that the drawbridge had been lowered to its place.",be creaking rattle shake pavement stand seem tremble crash tell drawbridge lower place 
70,"""That's that beast Jakin,"" said Robert. ""There's still the portcullis; I'm almost certain that's worked from lower down.""",beast say be portcullis certain work low 
71,And now the drawbridge rang and echoed hollowly to the hoofs of horses and the tramp of armed men.,drawbridge ring echoe hoof horse tramp armed man 
72,"""Up--quick!"" cried Robert,--""let's drop things on them.""",quick cry let drop thing 
73,"Even the girls were feeling almost brave now. They followed Robert quickly, and under his directions began to drop stones out through the long narrow windows. There was a confused noise below, and some groans.",girl feel brave follow direction begin drop stone long narrow window be confused noise groan 
74,"""Oh dear!"" said Anthea, putting down the stone she was just going to drop out, ""I'm afraid we've hurt somebody!""",dear say put stone go drop afraid hurt 
75,Robert caught up the stone in a fury.,catch stone fury 
76,"""I should hope we _had_!"" he said; ""I'd give something for a jolly good boiling kettle of lead. Surrender, indeed!""",hope _had_ say give jolly good boil kettle lead surrender 
77,"And now came more tramping and a pause, and then the thundering thump of the battering-ram. And the little room was almost pitch dark.",come more tramping pause thundering thump battering ram little room pitch dark 
