id,paragraph,tokens
44,Colin held out his hand with a sort of flushed royal shyness but his eyes quite devoured her face.,hold hand sort flush royal shyness eye devoure face 
45,"""Even when I was ill I wanted to see you,"" he said, ""you and Dickon and the secret garden.  I'd never wanted to see any one or anything before.""",ill want see say secret garden want see one 
46,The sight of his uplifted face brought about a sudden change in her own.  She flushed and the corners of her mouth shook and a mist seemed to sweep over her eyes.,sight uplift face bring sudden change own flush corner mouth shake mist seem sweep eye 
47,"""Eh! dear lad!"" she broke out tremulously.  ""Eh! dear lad!"" as if she had not known she were going to say it.  She did not say, ""Mester Colin,"" but just ""dear lad"" quite suddenly.  She might have said it to Dickon in the same way if she had seen something in his face which touched her.  Colin liked it.",dear lad break dear lad know go say say dear lad say same way see face touch like 
48,"""Are you surprised because I am so well?"" he asked.  She put her hand on his shoulder and smiled the mist out of her eyes.  ""Aye, that I am!"" she said; ""but tha'rt so like thy mother tha' made my heart jump.""",surprised well ask put hand shoulder smile mist eye say mother tha' make heart jump 
49,"""Do you think,"" said Colin a little awkwardly, ""that will make my father like me?""",think say little make father 
50,"""Aye, for sure, dear lad,"" she answered and she gave his shoulder a soft quick pat.  ""He mun come home--he mun come home.""",sure dear lad answer give shoulder soft quick pat come come 
51,"""Susan Sowerby,"" said Ben Weatherstaff, getting close to her.  ""Look at th' lad's legs, wilt tha'? They was like drumsticks i' stockin' two month' ago--an' I heard folk tell as they was bandy an' knock-kneed both at th' same time.  Look at 'em now!""",say get close look lad leg wilt drumstick stockin' month hear folk tell bandy knock kneed same time look e 
52,Susan Sowerby laughed a comfortable laugh.,laugh comfortable laugh 
53,"""They're goin' to be fine strong lad's legs in a bit,"" she said.  ""Let him go on playin' an' workin' in the garden an' eatin' hearty an' drinkin' plenty o' good sweet milk an' there'll not be a finer pair i' Yorkshire, thank God for it.""",go fine strong lad leg bit say let go playin workin garden eatin' hearty drinkin' plenty good sweet milk finer pair thank 
54,She put both hands on Mistress Mary's shoulders and looked her little face over in a motherly fashion.,put hand shoulder look little face motherly fashion 
